component,type,layer,head,mean_ie,std_ie,consistency,score,n_samples
L03H05,attn,3,5,0.0020017194747924804,0.006816396512640263,0.625,0.0012510746717453002,200
L20H20,attn,20,20,0.0019165897369384766,0.007129370838134452,0.65,0.0012457833290100099,200
L02H20,attn,2,20,0.0019878673553466795,0.00565519661169845,0.625,0.0012424170970916748,200
L18H06,attn,18,6,0.0020928382873535156,0.009862348076884294,0.59,0.001234774589538574,200
L40H19,attn,40,19,0.002036571502685547,0.007890399580616776,0.605,0.0012321257591247558,200
L04H21,attn,4,21,0.00217710018157959,0.00770022432732917,0.565,0.001230061602592468,200
L18H03,attn,18,3,0.0021982288360595705,0.012165566374738044,0.555,0.0012200170040130617,200
L34H15,attn,34,15,0.0018880701065063477,0.008565669181792974,0.645,0.0012178052186965942,200
L18H00,attn,18,0,0.0020653676986694337,0.00805073086461543,0.585,0.0012082401037216187,200
L30H12,attn,30,12,0.0020586967468261717,0.011360745667117249,0.585,0.0012043375968933104,200
L45H17,attn,45,17,0.0019173240661621094,0.005284361729606194,0.625,0.0011983275413513183,200
L15H21,attn,15,21,0.002232685089111328,0.006091000617962348,0.535,0.0011944865226745606,200
L09_MLP,mlp,9,-1,0.0021706342697143553,0.041963647250267314,0.55,0.0011938488483428955,200
L07H08,attn,7,8,0.0021317386627197265,0.006546935590913673,0.56,0.001193773651123047,200
L47H01,attn,47,1,0.0019536828994750977,0.00546887375746446,0.61,0.0011917465686798097,200
L36H21,attn,36,21,0.0021055459976196287,0.010341004764435106,0.565,0.0011896334886550902,200
L26H24,attn,26,24,0.002103438377380371,0.010979400778945759,0.56,0.0011779254913330077,200
L33H03,attn,33,3,0.002235832214355469,0.01547890299647397,0.525,0.0011738119125366212,200
L10H08,attn,10,8,0.001954493522644043,0.006220405836760682,0.6,0.0011726961135864256,200
L15H12,attn,15,12,0.0020505952835083007,0.008721966829859571,0.565,0.0011585863351821898,200
L16H18,attn,16,18,0.0018770694732666016,0.006535932414780291,0.615,0.0011543977260589598,200
L26H07,attn,26,7,0.002078251838684082,0.020342336515321142,0.55,0.0011430385112762452,200
L47H07,attn,47,7,0.001934957504272461,0.007817602118909943,0.59,0.001141624927520752,200
L37H01,attn,37,1,0.002309174537658691,0.031271806050702664,0.49,0.0011314955234527587,200
L36H07,attn,36,7,0.001954669952392578,0.009906463984000032,0.575,0.0011239352226257323,200
L28H05,attn,28,5,0.0018840837478637695,0.012430285541494173,0.59,0.001111609411239624,200
L41H10,attn,41,10,0.0016054296493530273,0.007190950581256494,0.685,0.0010997193098068237,200
L32H17,attn,32,17,0.0017956972122192382,0.009878252856753061,0.605,0.0010863968133926392,200
L14H13,attn,14,13,0.001761317253112793,0.0050573068614198115,0.615,0.0010832101106643677,200
L12H24,attn,12,24,0.0018181991577148437,0.006777240981398024,0.595,0.001081828498840332,200
L23H17,attn,23,17,0.0017040109634399415,0.006184608512983374,0.63,0.001073526906967163,200
L21H11,attn,21,11,0.001987266540527344,0.009884518432447267,0.54,0.0010731239318847658,200
L15H20,attn,15,20,0.00183347225189209,0.007041421456632299,0.585,0.0010725812673568725,200
L02H13,attn,2,13,0.0019012689590454102,0.005182950527344427,0.56,0.0010647106170654297,200
L23H12,attn,23,12,0.001976032257080078,0.008789842026901553,0.53,0.0010472970962524415,200
L20H07,attn,20,7,0.0017452192306518554,0.006448705112688098,0.6,0.0010471315383911131,200
L03_MLP,mlp,3,-1,0.0020458984375,0.04093190454632728,0.51,0.0010434082031250001,200
L21H05,attn,21,5,0.0019167184829711914,0.010794171873039632,0.54,0.0010350279808044435,200
L06H18,attn,6,18,0.001830458641052246,0.007505241944237372,0.565,0.001034209132194519,200
L32H03,attn,32,3,0.001775836944580078,0.008614760794273093,0.58,0.0010299854278564451,200
L24H19,attn,24,19,0.001786484718322754,0.004814241908721433,0.575,0.0010272287130355835,200
L27H19,attn,27,19,0.0016799116134643556,0.006174488257890973,0.6,0.0010079469680786134,200
L04H16,attn,4,16,0.001531233787536621,0.004644924338831785,0.655,0.0010029581308364868,200
L18H24,attn,18,24,0.0017976808547973634,0.006913864988954841,0.555,0.0009977128744125367,200
L29H03,attn,29,3,0.0017360353469848633,0.010219160416880287,0.565,0.0009808599710464476,200
L32H09,attn,32,9,0.001581721305847168,0.0076557805848588845,0.615,0.0009727586030960084,200
